 ordergroup |  ordergroupmember   |   uom    |  qty  | unroundedqty | type |   source   |   dest    | currencysw 
 701868790  | OOPT-DCR100.03-OGM1 | 10003002 |   400 |          296 |    1 | 4179061084 | 701858095 |          0
 701868790  | OOPT-DCR100.03-OGM1 | 10003002 |   400 |          296 |    2 | 4179061084 | 701858095 |          0
 701868790  | OOPT-DCR100.03-OGM1 | 10003002 |   400 |          296 |    3 | 4179061084 | 701858095 |          0
 702792311  |                     | 10004002 |     0 |            0 |    1 | 4179090875 | 702781616 |          0
 702792311  |                     | 10004002 |     0 |            0 |    2 | 4179090875 | 702781616 |          0
 702792311  |                     | 10004002 |     0 |            0 |    3 | 4179090875 | 702781616 |          0
 702792311  |                     | 10004002 |   275 |          275 |  101 | 4179090875 | 702781616 |          0
 702792311  |                     | 10004002 |   275 |          275 |  102 | 4179090875 | 702781616 |          0
 702792311  |                     | 10004002 |   313 |          313 |  103 | 4179090875 | 702781616 |          0
 702792311  | OOPT-DCR100.04-OGM1 | 10004002 |   275 |          275 |    1 | 4179090875 | 702781616 |          0
 702792311  | OOPT-DCR100.04-OGM1 | 10004002 |   275 |          275 |    2 | 4179090875 | 702781616 |          0
 702792311  | OOPT-DCR100.04-OGM1 | 10004002 |   313 |          313 |    3 | 4179090875 | 702781616 |          0
 703715832  |                     | 10005002 |     0 |            0 |    1 | 4179120666 | 703705137 |          0
 703715832  |                     | 10005002 |     0 |            0 |    2 | 4179120666 | 703705137 |          0
 703715832  |                     | 10005002 |     0 |            0 |    3 | 4179120666 | 703705137 |          0
 703715832  |                     | 10005002 |   536 |          536 |  101 | 4179120666 | 703705137 |          0
 703715832  |                     | 10005002 |   536 |          536 |  102 | 4179120666 | 703705137 |          0
 703715832  |                     | 10005002 |   798 |          798 |  103 | 4179120666 | 703705137 |          0
 703715832  | OOPT-DCR100.05-OGM1 | 10005002 |   536 |          536 |    1 | 4179120666 | 703705137 |          0
 703715832  | OOPT-DCR100.05-OGM1 | 10005002 |   536 |          536 |    2 | 4179120666 | 703705137 |          0
 703715832  | OOPT-DCR100.05-OGM1 | 10005002 |   798 |          798 |    3 | 4179120666 | 703705137 |          0
 704639353  |                     | 10006002 |     0 |            0 |    1 | 4179150457 | 704628658 |          0
 704639353  |                     | 10006002 |     0 |            0 |    2 | 4179150457 | 704628658 |          0
 704639353  |                     | 10006002 |     0 |            0 |    3 | 4179150457 | 704628658 |          0
 704639353  |                     | 10006002 |   236 |          236 |  101 | 4179150457 | 704628658 |          0
 704639353  |                     | 10006002 |   236 |          236 |  102 | 4179150457 | 704628658 |          0
 704639353  |                     | 10006002 |   236 |          236 |  103 | 4179150457 | 704628658 |          0
 704639353  | OOPT-DCR100.06-OGM1 | 10006002 |   236 |          236 |    1 | 4179150457 | 704628658 |          0
 704639353  | OOPT-DCR100.06-OGM1 | 10006002 |   236 |          236 |    2 | 4179150457 | 704628658 |          0
 704639353  | OOPT-DCR100.06-OGM1 | 10006002 |   236 |          236 |    3 | 4179150457 | 704628658 |          0
 705562874  |                     | 10007002 |     0 |            0 |    1 | 4179180248 | 705552179 |          0
 705562874  |                     | 10007002 |     0 |            0 |    2 | 4179180248 | 705552179 |          0
 705562874  |                     | 10007002 |     0 |            0 |    3 | 4179180248 | 705552179 |          0
 705562874  |                     | 10007002 |   536 |          536 |  101 | 4179180248 | 705552179 |          0
 705562874  |                     | 10007002 |   726 |          726 |  102 | 4179180248 | 705552179 |          0
 705562874  |                     | 10007002 |   726 |          726 |  103 | 4179180248 | 705552179 |          0
 705562874  | OOPT-DCR100.07-OGM1 | 10007002 |   536 |          536 |    1 | 4179180248 | 705552179 |          0
 705562874  | OOPT-DCR100.07-OGM1 | 10007002 |   726 |          726 |    2 | 4179180248 | 705552179 |          0
 705562874  | OOPT-DCR100.07-OGM1 | 10007002 |   726 |          726 |    3 | 4179180248 | 705552179 |          0
 706486395  |                     | 10008002 |     0 |            0 |    1 | 4179210039 | 706475700 |          0
 706486395  |                     | 10008002 |     0 |            0 |    2 | 4179210039 | 706475700 |          0
 706486395  |                     | 10008002 |     0 |            0 |    3 | 4179210039 | 706475700 |          0
 706486395  |                     | 10008002 |   285 |          285 |  101 | 4179210039 | 706475700 |          0
 706486395  |                     | 10008002 |   285 |          285 |  102 | 4179210039 | 706475700 |          0
 706486395  |                     | 10008002 |   323 |          323 |  103 | 4179210039 | 706475700 |          0
 706486395  | OOPT-DCR100.08-OGM1 | 10008002 |   285 |          285 |    1 | 4179210039 | 706475700 |          0
 706486395  | OOPT-DCR100.08-OGM1 | 10008002 |   285 |          285 |    2 | 4179210039 | 706475700 |          0
 706486395  | OOPT-DCR100.08-OGM1 | 10008002 |   323 |          323 |    3 | 4179210039 | 706475700 |          0
 707409916  |                     | 10009001 |     0 |            0 |    1 | 4179239830 | 707399221 |          0
 707409916  |                     | 10009001 |     0 |            0 |    2 | 4179239830 | 707399221 |          0
 707409916  |                     | 10009001 |     0 |            0 |    3 | 4179239830 | 707399221 |          0
 707409916  |                     | 10009001 |    64 |           64 |  101 | 4179239830 | 707399221 |          0
 707409916  |                     | 10009001 |    64 |           64 |  102 | 4179239830 | 707399221 |          0
 707409916  |                     | 10009001 |    64 |           64 |  103 | 4179239830 | 707399221 |          0
 707409916  | OOPT-DCR100.09-OGM1 | 10009001 |    64 |           64 |    1 | 4179239830 | 707399221 |          0
 707409916  | OOPT-DCR100.09-OGM1 | 10009001 |    64 |           64 |    2 | 4179239830 | 707399221 |          0
 707409916  | OOPT-DCR100.09-OGM1 | 10009001 |    64 |           64 |    3 | 4179239830 | 707399221 |          0
 727727378  |                     | 10010002 |     0 |            0 |    1 | 4179895232 | 727716683 |          0
 727727378  |                     | 10010002 |     0 |            0 |    2 | 4179895232 | 727716683 |          0
 727727378  |                     | 10010002 |     0 |            0 |    3 | 4179895232 | 727716683 |          0
 727727378  |                     | 10010002 | 204.5 |        204.5 |  101 | 4179895232 | 727716683 |          0
 727727378  |                     | 10010002 | 204.5 |        204.5 |  102 | 4179895232 | 727716683 |          0
 727727378  |                     | 10010002 | 204.5 |        204.5 |  103 | 4179895232 | 727716683 |          0
 727727378  | OOPT-DCR100.10-OGM1 | 10010002 | 204.5 |        204.5 |    1 | 4179895232 | 727716683 |          0
 727727378  | OOPT-DCR100.10-OGM1 | 10010002 | 204.5 |        204.5 |    2 | 4179895232 | 727716683 |          0
 727727378  | OOPT-DCR100.10-OGM1 | 10010002 | 204.5 |        204.5 |    3 | 4179895232 | 727716683 |          0
 728650899  |                     | 10011002 |     0 |            0 |    1 | 4179925023 | 728640204 |          0
 728650899  |                     | 10011002 |     0 |            0 |    2 | 4179925023 | 728640204 |          0
 728650899  |                     | 10011002 |     0 |            0 |    3 | 4179925023 | 728640204 |          0
 728650899  |                     | 10011002 |   290 |          236 |  101 | 4179925023 | 728640204 |          0
 728650899  |                     | 10011002 |   290 |          236 |  102 | 4179925023 | 728640204 |          0
 728650899  |                     | 10011002 |   290 |          236 |  103 | 4179925023 | 728640204 |          0
 728650899  | OOPT-DCR100.11-OGM1 | 10011002 |   290 |          236 |    1 | 4179925023 | 728640204 |          0
 728650899  | OOPT-DCR100.11-OGM1 | 10011002 |   290 |          236 |    2 | 4179925023 | 728640204 |          0
 728650899  | OOPT-DCR100.11-OGM1 | 10011002 |   290 |          236 |    3 | 4179925023 | 728640204 |          0
 729574420  |                     | 10012002 |     0 |            0 |    1 | 4179954814 | 729563725 |          0
 729574420  |                     | 10012002 |     0 |            0 |    2 | 4179954814 | 729563725 |          0
 729574420  |                     | 10012002 |     0 |            0 |    3 | 4179954814 | 729563725 |          0
 729574420  |                     | 10012002 |   236 |          236 |  101 | 4179954814 | 729563725 |          0
 729574420  |                     | 10012002 |   236 |          236 |  102 | 4179954814 | 729563725 |          0
 729574420  |                     | 10012002 |   236 |          236 |  103 | 4179954814 | 729563725 |          0
 729574420  | OOPT-DCR100.12-OGM1 | 10012002 |   236 |          236 |    1 | 4179954814 | 729563725 |          0
 729574420  | OOPT-DCR100.12-OGM1 | 10012002 |   236 |          236 |    2 | 4179954814 | 729563725 |          0
 729574420  | OOPT-DCR100.12-OGM1 | 10012002 |   236 |          236 |    3 | 4179954814 | 729563725 |          0
 730497941  |                     | 10013002 |     0 |            0 |    1 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013002 |     0 |            0 |    2 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013002 |     0 |            0 |    3 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013003 |     0 |            0 |    1 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013003 |     0 |            0 |    2 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013003 |     0 |            0 |    3 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013002 |   236 |          236 |  101 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013002 |   236 |          236 |  102 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013002 |   236 |          236 |  103 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013003 |   236 |          236 |  101 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013003 |   236 |          236 |  102 | 4179984605 | 730487246 |          0
 730497941  |                     | 10013003 |   236 |          236 |  103 | 4179984605 | 730487246 |          0
 730497941  | OOPT-DCR100.13-OGM1 | 10013002 |   236 |          236 |    1 | 4179984605 | 730487246 |          0
 730497941  | OOPT-DCR100.13-OGM1 | 10013002 |   236 |          236 |    2 | 4179984605 | 730487246 |          0
 730497941  | OOPT-DCR100.13-OGM1 | 10013002 |   236 |          236 |    3 | 4179984605 | 730487246 |          0
 730497941  | OOPT-DCR100.13-OGM1 | 10013003 |   236 |          236 |    1 | 4179984605 | 730487246 |          0
 730497941  | OOPT-DCR100.13-OGM1 | 10013003 |   236 |          236 |    2 | 4179984605 | 730487246 |          0
 730497941  | OOPT-DCR100.13-OGM1 | 10013003 |   236 |          236 |    3 | 4179984605 | 730487246 |          0
 731421462  |                     | 10014002 |     0 |            0 |    1 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014002 |     0 |            0 |    2 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014002 |     0 |            0 |    3 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014003 |     0 |            0 |    1 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014003 |     0 |            0 |    2 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014003 |     0 |            0 |    3 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014002 |   236 |          236 |  101 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014002 |   236 |          236 |  102 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014002 |   236 |          236 |  103 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014003 |   236 |          236 |  101 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014003 |   236 |          236 |  102 | 4180014396 | 731410767 |          0
 731421462  |                     | 10014003 |   236 |          236 |  103 | 4180014396 | 731410767 |          0
 731421462  | OOPT-DCR100.14-OGM1 | 10014002 |   236 |          236 |    1 | 4180014396 | 731410767 |          0
 731421462  | OOPT-DCR100.14-OGM1 | 10014002 |   236 |          236 |    2 | 4180014396 | 731410767 |          0
 731421462  | OOPT-DCR100.14-OGM1 | 10014002 |   236 |          236 |    3 | 4180014396 | 731410767 |          0
 731421462  | OOPT-DCR100.14-OGM1 | 10014003 |   236 |          236 |    1 | 4180014396 | 731410767 |          0
 731421462  | OOPT-DCR100.14-OGM1 | 10014003 |   236 |          236 |    2 | 4180014396 | 731410767 |          0
 731421462  | OOPT-DCR100.14-OGM1 | 10014003 |   236 |          236 |    3 | 4180014396 | 731410767 |          0
 732344983  |                     | 10015002 |     0 |            0 |    1 | 4180044187 | 732334288 |          0
 732344983  |                     | 10015002 |     0 |            0 |    2 | 4180044187 | 732334288 |          0
 732344983  |                     | 10015002 |     0 |            0 |    3 | 4180044187 | 732334288 |          0
 732344983  |                     | 10015002 |   296 |          296 |  101 | 4180044187 | 732334288 |          0
 732344983  |                     | 10015002 |   296 |          296 |  102 | 4180044187 | 732334288 |          0
 732344983  |                     | 10015002 |   296 |          296 |  103 | 4180044187 | 732334288 |          0
 732344983  | OOPT-DCR100.15-OGM1 | 10015002 |   296 |          296 |    1 | 4180044187 | 732334288 |          0
 732344983  | OOPT-DCR100.15-OGM1 | 10015002 |   296 |          296 |    2 | 4180044187 | 732334288 |          0
 732344983  | OOPT-DCR100.15-OGM1 | 10015002 |   296 |          296 |    3 | 4180044187 | 732334288 |          0
 733268504  |                     | 10016002 |     0 |            0 |    1 | 4180073978 | 733257809 |          0
 733268504  |                     | 10016002 |     0 |            0 |    2 | 4180073978 | 733257809 |          0
 733268504  |                     | 10016002 |     0 |            0 |    3 | 4180073978 | 733257809 |          0
 733268504  |                     | 10016002 |   296 |          296 |  101 | 4180073978 | 733257809 |          0
 733268504  |                     | 10016002 |   296 |          296 |  102 | 4180073978 | 733257809 |          0
 733268504  |                     | 10016002 |   296 |          296 |  103 | 4180073978 | 733257809 |          0
 733268504  | OOPT-DCR100.16-OGM1 | 10016002 |   296 |          296 |    1 | 4180073978 | 733257809 |          0
 733268504  | OOPT-DCR100.16-OGM1 | 10016002 |   296 |          296 |    2 | 4180073978 | 733257809 |          0
 733268504  | OOPT-DCR100.16-OGM1 | 10016002 |   296 |          296 |    3 | 4180073978 | 733257809 |          0
 734192025  |                     | 10017002 |    32 |           32 |    1 | 4180103769 | 734181330 |          0
 734192025  |                     | 10017002 |    32 |           32 |    3 | 4180103769 | 734181330 |          0
 734192025  | OOPT-DCR100.17-OGM1 | 10017002 |    32 |           32 |    1 | 4180103769 | 734181330 |          0
 734192025  | OOPT-DCR100.17-OGM1 | 10017002 |    32 |           32 |    3 | 4180103769 | 734181330 |          0
 735115546  |                     | 10018002 |     0 |            0 |    1 | 4180133560 | 735104851 |          0
 735115546  |                     | 10018002 |     0 |            0 |    2 | 4180133560 | 735104851 |          0
 735115546  |                     | 10018002 |     0 |            0 |    3 | 4180133560 | 735104851 |          0
 735115546  |                     | 10018002 |   281 |          280 |  101 | 4180133560 | 735104851 |          0
 735115546  |                     | 10018002 |   281 |          280 |  102 | 4180133560 | 735104851 |          0
 735115546  |                     | 10018002 |   414 |          413 |  103 | 4180133560 | 735104851 |          0
 735115546  | OOPT-DCR100.18-OGM1 | 10018002 |   281 |          280 |    1 | 4180133560 | 735104851 |          0
 735115546  | OOPT-DCR100.18-OGM1 | 10018002 |   281 |          280 |    2 | 4180133560 | 735104851 |          0
 735115546  | OOPT-DCR100.18-OGM1 | 10018002 |   414 |          413 |    3 | 4180133560 | 735104851 |          0
 736039067  |                     | 10019002 |     0 |            0 |    1 | 4180163351 | 736028372 |          0
 736039067  |                     | 10019002 |     0 |            0 |    2 | 4180163351 | 736028372 |          0
 736039067  |                     | 10019002 |     0 |            0 |    3 | 4180163351 | 736028372 |          0
 736039067  |                     | 10019002 |   302 |          302 |  101 | 4180163351 | 736028372 |          0
 736039067  |                     | 10019002 |   302 |          302 |  102 | 4180163351 | 736028372 |          0
 736039067  |                     | 10019002 |   416 |          416 |  103 | 4180163351 | 736028372 |          0
 736039067  | OOPT-DCR100.19-OGM1 | 10019002 |   302 |          302 |    1 | 4180163351 | 736028372 |          0
 736039067  | OOPT-DCR100.19-OGM1 | 10019002 |   302 |          302 |    2 | 4180163351 | 736028372 |          0
 736039067  | OOPT-DCR100.19-OGM1 | 10019002 |   416 |          416 |    3 | 4180163351 | 736028372 |          0
 756356529  |                     | 10020002 |    57 |           60 |    1 | 4180818753 | 756345834 |          0
 756356529  |                     | 10020002 |    57 |           60 |    3 | 4180818753 | 756345834 |          0
 756356529  | OOPT-DCR100.20-OGM1 | 10020002 |    39 |   39.9999999 |    1 | 4180818753 | 756345834 |          0
 756356529  | OOPT-DCR100.20-OGM1 | 10020002 |    39 |   39.9999999 |    3 | 4180818753 | 756345834 |          0
 756356529  | OOPT-DCR100.20-OGM2 | 10020002 |    18 |   20.0000001 |    1 | 4180818753 | 756345834 |          0
 756356529  | OOPT-DCR100.20-OGM2 | 10020002 |    18 |   20.0000001 |    3 | 4180818753 | 756345834 |          0
 757280050  |                     | 10021002 |     0 |            0 |    1 | 4180848544 | 757269355 |          0
 757280050  |                     | 10021002 |     0 |            0 |    2 | 4180848544 | 757269355 |          0
 757280050  |                     | 10021002 |     0 |            0 |    3 | 4180848544 | 757269355 |          0
 757280050  |                     | 10021002 |   296 |          296 |  101 | 4180848544 | 757269355 |          0
 757280050  |                     | 10021002 |   296 |          296 |  102 | 4180848544 | 757269355 |          0
 757280050  |                     | 10021002 |   410 |          410 |  103 | 4180848544 | 757269355 |          0
 757280050  | OOPT-DCR100.21-OGM1 | 10021002 |   296 |          296 |    1 | 4180848544 | 757269355 |          0
 757280050  | OOPT-DCR100.21-OGM1 | 10021002 |   296 |          296 |    2 | 4180848544 | 757269355 |          0
 757280050  | OOPT-DCR100.21-OGM1 | 10021002 |   410 |          410 |    3 | 4180848544 | 757269355 |          0
 758203571  |                     | 10022002 |     0 |            0 |    1 | 4180878335 | 758192876 |          0
 758203571  |                     | 10022002 |     0 |            0 |    2 | 4180878335 | 758192876 |          0
 758203571  |                     | 10022002 |     0 |            0 |    3 | 4180878335 | 758192876 |          0
 758203571  |                     | 10022002 |   184 |          184 |  101 | 4180878335 | 758192876 |          0
 758203571  |                     | 10022002 |   228 |          228 |  102 | 4180878335 | 758192876 |          0
 758203571  |                     | 10022002 |   228 |          228 |  103 | 4180878335 | 758192876 |          0
 758203571  | OOPT-DCR100.22-OGM1 | 10022002 |    84 |           84 |    1 | 4180878335 | 758192876 |          0
 758203571  | OOPT-DCR100.22-OGM1 | 10022002 |   108 |          108 |    2 | 4180878335 | 758192876 |          0
 758203571  | OOPT-DCR100.22-OGM1 | 10022002 |   108 |          108 |    3 | 4180878335 | 758192876 |          0
 758203571  | OOPT-DCR100.22-OGM2 | 10022002 |   100 |          100 |    1 | 4180878335 | 758192876 |          0
 758203571  | OOPT-DCR100.22-OGM2 | 10022002 |   120 |          120 |    2 | 4180878335 | 758192876 |          0
 758203571  | OOPT-DCR100.22-OGM2 | 10022002 |   120 |          120 |    3 | 4180878335 | 758192876 |          0
 759127092  |                     | 10023002 |     0 |            0 |    1 | 4180908126 | 759116397 |          0
 759127092  |                     | 10023002 |     0 |            0 |    2 | 4180908126 | 759116397 |          0
 759127092  |                     | 10023002 |     0 |            0 |    3 | 4180908126 | 759116397 |          0
 759127092  |                     | 10023002 |   184 |          184 |  101 | 4180908126 | 759116397 |          0
 759127092  |                     | 10023002 |   228 |          228 |  102 | 4180908126 | 759116397 |          0
 759127092  |                     | 10023002 |   228 |          228 |  103 | 4180908126 | 759116397 |          0
 759127092  | OOPT-DCR100.23-OGM1 | 10023002 |    84 |           84 |    1 | 4180908126 | 759116397 |          0
 759127092  | OOPT-DCR100.23-OGM1 | 10023002 |   108 |          108 |    2 | 4180908126 | 759116397 |          0
 759127092  | OOPT-DCR100.23-OGM1 | 10023002 |   108 |          108 |    3 | 4180908126 | 759116397 |          0
 759127092  | OOPT-DCR100.23-OGM2 | 10023002 |   100 |          100 |    1 | 4180908126 | 759116397 |          0
 759127092  | OOPT-DCR100.23-OGM2 | 10023002 |   120 |          120 |    2 | 4180908126 | 759116397 |          0
 759127092  | OOPT-DCR100.23-OGM2 | 10023002 |   120 |          120 |    3 | 4180908126 | 759116397 |          0
 760050613  |                     | 10024002 |     0 |            0 |    1 | 4180937917 | 760039918 |          0
 760050613  |                     | 10024002 |     0 |            0 |    2 | 4180937917 | 760039918 |          0
 760050613  |                     | 10024002 |     0 |            0 |    3 | 4180937917 | 760039918 |          0
 760050613  |                     | 10024002 |   184 |          184 |  101 | 4180937917 | 760039918 |          0
 760050613  |                     | 10024002 |   250 |          250 |  102 | 4180937917 | 760039918 |          0
 760050613  |                     | 10024002 |   250 |          250 |  103 | 4180937917 | 760039918 |          0
 760050613  | OOPT-DCR100.24-OGM1 | 10024002 |    84 |           84 |    1 | 4180937917 | 760039918 |          0
 760050613  | OOPT-DCR100.24-OGM1 | 10024002 |   120 |          120 |    2 | 4180937917 | 760039918 |          0
 760050613  | OOPT-DCR100.24-OGM1 | 10024002 |   120 |          120 |    3 | 4180937917 | 760039918 |          0
 760050613  | OOPT-DCR100.24-OGM2 | 10024002 |   100 |          100 |    1 | 4180937917 | 760039918 |          0
 760050613  | OOPT-DCR100.24-OGM2 | 10024002 |   130 |          130 |    2 | 4180937917 | 760039918 |          0
 760050613  | OOPT-DCR100.24-OGM2 | 10024002 |   130 |          130 |    3 | 4180937917 | 760039918 |          0
 760974134  |                     | 10025002 |     0 |            0 |    1 | 4180967708 | 760963439 |          0
 760974134  |                     | 10025002 |     0 |            0 |    2 | 4180967708 | 760963439 |          0
 760974134  |                     | 10025002 |     0 |            0 |    3 | 4180967708 | 760963439 |          0
 760974134  |                     | 10025002 |   184 |          184 |  101 | 4180967708 | 760963439 |          0
 760974134  |                     | 10025002 |   250 |          250 |  102 | 4180967708 | 760963439 |          0
 760974134  |                     | 10025002 |   250 |          250 |  103 | 4180967708 | 760963439 |          0
 760974134  | OOPT-DCR100.25-OGM1 | 10025002 |    84 |           84 |    1 | 4180967708 | 760963439 |          0
 760974134  | OOPT-DCR100.25-OGM1 | 10025002 |   120 |          120 |    2 | 4180967708 | 760963439 |          0
 760974134  | OOPT-DCR100.25-OGM1 | 10025002 |   120 |          120 |    3 | 4180967708 | 760963439 |          0
 760974134  | OOPT-DCR100.25-OGM2 | 10025002 |   100 |          100 |    1 | 4180967708 | 760963439 |          0
 760974134  | OOPT-DCR100.25-OGM2 | 10025002 |   130 |          130 |    2 | 4180967708 | 760963439 |          0
 760974134  | OOPT-DCR100.25-OGM2 | 10025002 |   130 |          130 |    3 | 4180967708 | 760963439 |          0
 761897655  |                     | 10026002 |     0 |            0 |    1 | 4180997499 | 761886960 |          0
 761897655  |                     | 10026002 |     0 |            0 |    2 | 4180997499 | 761886960 |          0
 761897655  |                     | 10026002 |     0 |            0 |    3 | 4180997499 | 761886960 |          0
 761897655  |                     | 10026002 |   184 |          184 |  101 | 4180997499 | 761886960 |          0
 761897655  |                     | 10026002 |   510 |          510 |  102 | 4180997499 | 761886960 |          0
 761897655  |                     | 10026002 |   510 |          510 |  103 | 4180997499 | 761886960 |          0
 761897655  | OOPT-DCR100.26-OGM1 | 10026002 |    84 |           84 |    1 | 4180997499 | 761886960 |          0
 761897655  | OOPT-DCR100.26-OGM1 | 10026002 |   262 |          262 |    2 | 4180997499 | 761886960 |          0
 761897655  | OOPT-DCR100.26-OGM1 | 10026002 |   262 |          262 |    3 | 4180997499 | 761886960 |          0
 761897655  | OOPT-DCR100.26-OGM2 | 10026002 |   100 |          100 |    1 | 4180997499 | 761886960 |          0
 761897655  | OOPT-DCR100.26-OGM2 | 10026002 |   248 |          248 |    2 | 4180997499 | 761886960 |          0
 761897655  | OOPT-DCR100.26-OGM2 | 10026002 |   248 |          248 |    3 | 4180997499 | 761886960 |          0
 762821176  |                     | 10027002 |     0 |            0 |    1 | 4181027290 | 762810481 |          0
 762821176  |                     | 10027002 |     0 |            0 |    2 | 4181027290 | 762810481 |          0
 762821176  |                     | 10027002 |     0 |            0 |    3 | 4181027290 | 762810481 |          0
 762821176  |                     | 10027002 |   184 |          184 |  101 | 4181027290 | 762810481 |          0
 762821176  |                     | 10027002 |   510 |          510 |  102 | 4181027290 | 762810481 |          0
 762821176  |                     | 10027002 |   510 |          510 |  103 | 4181027290 | 762810481 |          0
 762821176  | OOPT-DCR100.27-OGM1 | 10027002 |    84 |           84 |    1 | 4181027290 | 762810481 |          0
 762821176  | OOPT-DCR100.27-OGM1 | 10027002 |   262 |          262 |    2 | 4181027290 | 762810481 |          0
 762821176  | OOPT-DCR100.27-OGM1 | 10027002 |   262 |          262 |    3 | 4181027290 | 762810481 |          0
 762821176  | OOPT-DCR100.27-OGM2 | 10027002 |   100 |          100 |    1 | 4181027290 | 762810481 |          0
 762821176  | OOPT-DCR100.27-OGM2 | 10027002 |   248 |          248 |    2 | 4181027290 | 762810481 |          0
 762821176  | OOPT-DCR100.27-OGM2 | 10027002 |   248 |          248 |    3 | 4181027290 | 762810481 |          0
 763744697  |                     | 10028002 |     0 |            0 |    1 | 4181057081 | 763734002 |          0
 763744697  |                     | 10028002 |     0 |            0 |    2 | 4181057081 | 763734002 |          0
 763744697  |                     | 10028002 |     0 |            0 |    3 | 4181057081 | 763734002 |          0
 763744697  |                     | 10028002 |   184 |          184 |  101 | 4181057081 | 763734002 |          0
 763744697  |                     | 10028002 |   534 |          534 |  102 | 4181057081 | 763734002 |          0
 763744697  |                     | 10028002 |   534 |          534 |  103 | 4181057081 | 763734002 |          0
 763744697  | OOPT-DCR100.28-OGM1 | 10028002 |    84 |           84 |    1 | 4181057081 | 763734002 |          0
 763744697  | OOPT-DCR100.28-OGM1 | 10028002 |   272 |          272 |    2 | 4181057081 | 763734002 |          0
 763744697  | OOPT-DCR100.28-OGM1 | 10028002 |   272 |          272 |    3 | 4181057081 | 763734002 |          0
 763744697  | OOPT-DCR100.28-OGM2 | 10028002 |   100 |          100 |    1 | 4181057081 | 763734002 |          0
 763744697  | OOPT-DCR100.28-OGM2 | 10028002 |   262 |          262 |    2 | 4181057081 | 763734002 |          0
