 ordergroup | transmode  |  qty  |   uom    | currencysw 
 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 646806016  | 178621946  |  60 | 31903002 |          0
 646806016  | 178621946  |  60 | 31903003 |          0
 646806016  | 178621946  |  58 | 31903002 |          0
 646806016  | 178621946  |  58 | 31903003 |          0
 652347142  | 1410384180 |  28 | 31909002 |          0
 652347142  | 1410384180 |  28 | 31909003 |          0
 673588125  | 2552999995 |  28 | 31911002 |          0
 673588125  | 2552999995 |  28 | 31911003 |          0
 677282209  | 510863289  |  28 | 31915002 |          0
 677282209  | 510863289  |  28 | 31915003 |          0
 644958974  | 1199690300 |  28 | 31901002 |          0
 644958974  | 1199690300 |  28 | 31901003 |          0
 648653058  | 3452520886 |  52 | 31905002 |          0
 648653058  | 3452520886 |  52 | 31905003 |          0
 649576579  | 2941986709 |  28 | 31906002 |          0
 649576579  | 2941986709 |  28 | 31906003 |          0
 680052772  | 3274228052 |  28 | 31918002 |          0
 680052772  | 3274228052 |  28 | 31918003 |          0
 703140797  | 3395775515 |  14 | 31922002 |          0
 703140797  | 3395775515 |  14 | 31922003 |          0
 703140798  | 3395775515 |  14 | 31922002 |          0
 703140798  | 3395775515 |  14 | 31922003 |          0
(22 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 3337022838 | 1362870146 |  50 | 33401002 |          0
 3337022838 | 1362870146 |  50 | 33401003 |          0
 3337022838 | 1362870146 |  50 | 33401002 |          0
 3337022838 | 1362870146 |  50 | 33401003 |          0
 3337022838 | 1362870146 |  16 | 33401002 |          0
 3337022838 | 1362870146 |  16 | 33401003 |          0
 3337946359 | 852335969  |  50 | 33402002 |          0
 3337946359 | 852335969  |  50 | 33402003 |          0
 3337946359 | 852335969  |  50 | 33402002 |          0
 3337946359 | 852335969  |  50 | 33402003 |          0
 3337946359 | 852335969  |  12 | 33402002 |          0
 3337946359 | 852335969  |  12 | 33402003 |          0
 3338869880 | 341801792  |  50 | 33403002 |          0
 3338869880 | 341801792  |  50 | 33403003 |          0
 3338869880 | 341801792  |  50 | 33403002 |          0
 3338869880 | 341801792  |  50 | 33403003 |          0
 3338869880 | 341801792  |  43 | 33403002 |          0
 3338869880 | 341801792  |  43 | 33403003 |          0
 3339793401 | 4126234909 |  50 | 33404002 |          0
 3339793401 | 4126234909 |  50 | 33404003 |          0
 3339793401 | 4126234909 |  50 | 33404002 |          0
 3339793401 | 4126234909 |  50 | 33404003 |          0
 3339793401 | 4126234909 |  50 | 33404002 |          0
 3339793401 | 4126234909 |  50 | 33404003 |          0
 3340716922 | 3615700732 |  50 | 33405002 |          0
 3340716922 | 3615700732 |  50 | 33405003 |          0
 3340716922 | 3615700732 |  50 | 33405002 |          0
 3340716922 | 3615700732 |  50 | 33405003 |          0
 3340716922 | 3615700732 |  50 | 33405002 |          0
 3340716922 | 3615700732 |  50 | 33405003 |          0
 3344411006 | 1573564026 |  50 | 33409002 |          0
 3344411006 | 1573564026 |  50 | 33409003 |          0
 3344411006 | 1573564026 |  50 | 33409002 |          0
 3344411006 | 1573564026 |  50 | 33409003 |          0
 3344411006 | 1573564026 |  14 | 33409002 |          0
 3344411006 | 1573564026 |  14 | 33409003 |          0
 3366575510 | 2205645664 |  50 | 33412002 |          0
 3366575510 | 2205645664 |  50 | 33412003 |          0
 3366575510 | 2205645664 |  50 | 33412002 |          0
 3366575510 | 2205645664 |  50 | 33412003 |          0
 3366575510 | 2205645664 |  16 | 33412002 |          0
 3366575510 | 2205645664 |  16 | 33412003 |          0
 3367499031 | 1695111489 |  50 | 33413002 |          0
 3367499031 | 1695111489 |  50 | 33413003 |          0
 3367499031 | 1695111489 |  50 | 33413002 |          0
 3367499031 | 1695111489 |  50 | 33413003 |          0
 3367499031 | 1695111489 |   4 | 33413002 |          0
 3367499031 | 1695111489 |   4 | 33413003 |          0
 3368422552 | 1184577312 |  50 | 33414002 |          0
 3368422552 | 1184577312 |  50 | 33414003 |          0
 3368422552 | 1184577312 |  42 | 33414002 |          0
 3368422552 | 1184577312 |  42 | 33414003 |          0
(52 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 4171312755 | 2871651939 |  12 | 33501002 |          0
 4172236276 | 2361117762 |  12 | 33502002 |          0
 4174083318 | 1340049410 |  12 | 33504002 |          0
 4175930360 | 318981056  |  12 | 33506002 |          0
 4176853881 | 4103414173 |  12 | 33507002 |          0
 4177777402 | 3592879996 |  10 | 33508002 |          0
 4204559511 | 1672290753 |  12 | 33516002 |          0
 4205483032 | 1161756576 |  12 | 33517002 |          0
 4206406553 | 651222399  |  12 | 33518002 |          0
 4227647536 | 1793838216 |  37 | 33520002 |          0
(10 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 118709548  | 3979097932 |  30 | 32701002 |          0
 118709548  | 3979097932 |  30 | 32701003 |          0
 118709548  | 3979097932 |  30 | 32701002 |          0
 118709548  | 3979097932 |  30 | 32701003 |          0
 118709548  | 3979097932 |  30 | 32701002 |          0
 118709548  | 3979097932 |  30 | 32701003 |          0
 118709548  | 3979097932 |  30 | 32701002 |          0
 118709548  | 3979097932 |  30 | 32701003 |          0
 118709548  | 3979097932 |  20 | 32701002 |          0
 118709548  | 3979097932 |  20 | 32701003 |          0
 119633069  | 3468563755 |  30 | 32702002 |          0
 119633069  | 3468563755 |  30 | 32702003 |          0
 119633069  | 3468563755 |  30 | 32702002 |          0
 119633069  | 3468563755 |  30 | 32702003 |          0
 119633069  | 3468563755 |  30 | 32702002 |          0
 119633069  | 3468563755 |  30 | 32702003 |          0
 119633069  | 3468563755 |  30 | 32702002 |          0
 119633069  | 3468563755 |  30 | 32702003 |          0
 119633069  | 3468563755 |  30 | 32702002 |          0
 119633069  | 3468563755 |  30 | 32702003 |          0
 119633069  | 3468563755 |   2 | 32702002 |          0
 119633069  | 3468563755 |   2 | 32702003 |          0
 120556590  | 2958029578 |  30 | 32703002 |          0
 120556590  | 2958029578 |  30 | 32703003 |          0
 120556590  | 2958029578 |  30 | 32703002 |          0
 120556590  | 2958029578 |  30 | 32703003 |          0
 120556590  | 2958029578 |  30 | 32703002 |          0
 120556590  | 2958029578 |  30 | 32703003 |          0
 120556590  | 2958029578 |  30 | 32703002 |          0
 120556590  | 2958029578 |  30 | 32703003 |          0
 120556590  | 2958029578 |  30 | 32703002 |          0
 120556590  | 2958029578 |  30 | 32703003 |          0
 120556590  | 2958029578 |  10 | 32703002 |          0
 120556590  | 2958029578 |  10 | 32703003 |          0
 121480111  | 2447495401 |  30 | 32704002 |          0
 121480111  | 2447495401 |  30 | 32704003 |          0
 121480111  | 2447495401 |  30 | 32704002 |          0
 121480111  | 2447495401 |  30 | 32704003 |          0
 121480111  | 2447495401 |  30 | 32704002 |          0
 121480111  | 2447495401 |  30 | 32704003 |          0
 121480111  | 2447495401 |  30 | 32704002 |          0
 121480111  | 2447495401 |  30 | 32704003 |          0
 122403632  | 1936961226 |  30 | 32705002 |          0
 122403632  | 1936961226 |  30 | 32705003 |          0
 122403632  | 1936961226 |  30 | 32705002 |          0
 122403632  | 1936961226 |  30 | 32705003 |          0
 122403632  | 1936961226 |  30 | 32705002 |          0
 122403632  | 1936961226 |  30 | 32705003 |          0
 122403632  | 1936961226 |  30 | 32705002 |          0
 122403632  | 1936961226 |  30 | 32705003 |          0
 122403632  | 1936961226 |  30 | 32705002 |          0
 122403632  | 1936961226 |  30 | 32705003 |          0
 122403632  | 1936961226 |  10 | 32705002 |          0
 122403632  | 1936961226 |  10 | 32705003 |          0
 124250674  | 915892872  |  50 | 32707002 |          0
 124250674  | 915892872  |  50 | 32707003 |          0
 124250674  | 915892872  |  50 | 32707002 |          0
 124250674  | 915892872  |  50 | 32707003 |          0
 124250674  | 915892872  |  50 | 32707002 |          0
 124250674  | 915892872  |  50 | 32707003 |          0
 124250674  | 915892872  |  50 | 32707002 |          0
 124250674  | 915892872  |  50 | 32707003 |          0
 124250674  | 915892872  |  40 | 32707002 |          0
 124250674  | 915892872  |  40 | 32707003 |          0
 147338699  | 1037440335 |  30 | 32711002 |          0
 147338699  | 1037440335 |  30 | 32711003 |          0
 147338699  | 1037440335 |  30 | 32711002 |          0
 147338699  | 1037440335 |  30 | 32711003 |          0
 147338699  | 1037440335 |  30 | 32711002 |          0
 147338699  | 1037440335 |  30 | 32711003 |          0
 147338699  | 1037440335 |  30 | 32711002 |          0
 147338699  | 1037440335 |  30 | 32711003 |          0
 147338699  | 1037440335 |  30 | 32711002 |          0
 147338699  | 1037440335 |  30 | 32711003 |          0
 147338699  | 1037440335 |  30 | 32711002 |          0
 147338699  | 1037440335 |  30 | 32711003 |          0
 149185741  | 16371981   |  30 | 32713002 |          0
 149185741  | 16371981   |  30 | 32713003 |          0
 149185741  | 16371981   |  30 | 32713002 |          0
 149185741  | 16371981   |  30 | 32713003 |          0
 149185741  | 16371981   |  30 | 32713002 |          0
 149185741  | 16371981   |  30 | 32713003 |          0
 149185741  | 16371981   |  30 | 32713002 |          0
 149185741  | 16371981   |  30 | 32713003 |          0
 149185741  | 16371981   |  30 | 32713002 |          0
 149185741  | 16371981   |  30 | 32713003 |          0
 149185741  | 16371981   |  10 | 32713002 |          0
 149185741  | 16371981   |  10 | 32713003 |          0
 150109262  | 3800805098 |  30 | 32714002 |          0
 150109262  | 3800805098 |  30 | 32714003 |          0
 150109262  | 3800805098 |  30 | 32714002 |          0
 150109262  | 3800805098 |  30 | 32714003 |          0
 150109262  | 3800805098 |  30 | 32714002 |          0
 150109262  | 3800805098 |  30 | 32714003 |          0
 150109262  | 3800805098 |  30 | 32714002 |          0
 150109262  | 3800805098 |  30 | 32714003 |          0
 150109262  | 3800805098 |  30 | 32714002 |          0
 150109262  | 3800805098 |  30 | 32714003 |          0
 150109262  | 3800805098 |  10 | 32714002 |          0
 150109262  | 3800805098 |  10 | 32714003 |          0
 151032783  | 3290270921 |  30 | 32715002 |          0
 151032783  | 3290270921 |  30 | 32715003 |          0
 151032783  | 3290270921 |  30 | 32715004 |          0
 151032783  | 3290270921 |  30 | 32715005 |          0
 151032783  | 3290270921 |  30 | 32715002 |          0
 151032783  | 3290270921 |  30 | 32715003 |          0
 151032783  | 3290270921 |  30 | 32715004 |          0
 151032783  | 3290270921 |  30 | 32715005 |          0
 151032783  | 3290270921 |  30 | 32715002 |          0
 151032783  | 3290270921 |  30 | 32715003 |          0
 151032783  | 3290270921 |  30 | 32715004 |          0
 151032783  | 3290270921 |  30 | 32715005 |          0
 151032783  | 3290270921 |  30 | 32715002 |          0
 151032783  | 3290270921 |  30 | 32715003 |          0
 151032783  | 3290270921 |  30 | 32715004 |          0
 151032783  | 3290270921 |  30 | 32715005 |          0
 151032783  | 3290270921 |  30 | 32715002 |          0
 151032783  | 3290270921 |  30 | 32715003 |          0
 151032783  | 3290270921 |  30 | 32715004 |          0
 151032783  | 3290270921 |  30 | 32715005 |          0
 151032783  | 3290270921 |  10 | 32715002 |          0
 151032783  | 3290270921 |  10 | 32715003 |          0
 151032783  | 3290270921 |  10 | 32715004 |          0
 151032783  | 3290270921 |  10 | 32715005 |          0
 151956304  | 2779736744 | 100 | 32716002 |          0
 151956304  | 2779736744 | 100 | 32716003 |          0
 151956304  | 2779736744 |  92 | 32716002 |          0
 151956304  | 2779736744 |  92 | 32716003 |          0
 152879825  | 2269202567 | 100 | 32717002 |          0
 152879825  | 2269202567 | 100 | 32717003 |          0
 152879825  | 2269202567 | 100 | 32717002 |          0
 152879825  | 2269202567 | 100 | 32717003 |          0
 175967850  | 2390750030 |  50 | 32721002 |          0
 175967850  | 2390750030 |  50 | 32721003 |          0
 175967850  | 2390750030 |  50 | 32721002 |          0
 175967850  | 2390750030 |  50 | 32721003 |          0
 175967850  | 2390750030 |  50 | 32721002 |          0
 175967850  | 2390750030 |  50 | 32721003 |          0
 175967850  | 2390750030 |  50 | 32721002 |          0
 175967850  | 2390750030 |  50 | 32721003 |          0
 175967850  | 2390750030 |  27 | 32721002 |          0
 175967850  | 2390750030 |  27 | 32721003 |          0
 181508976  | 3622512264 |  28 | 32727002 |          0
 181508976  | 3622512264 |  28 | 32727003 |          0
 205520522  | 3233525550 |  30 | 32732002 |          0
 205520522  | 3233525550 |  30 | 32732002 |          0
 205520522  | 3233525550 |  10 | 32732002 |          0
 208291085  | 1701923021 |  30 | 32735002 |          0
 208291085  | 1701923021 |  30 | 32735002 |          0
 208291085  | 1701923021 |  30 | 32735002 |          0
 208291085  | 1701923021 |  30 | 32735002 |          0
 208291085  | 1701923021 |  30 | 32735002 |          0
 208291085  | 1701923021 |  10 | 32735002 |          0
 209214606  | 1191388844 |  30 | 32736002 |          0
 209214606  | 1191388844 |  30 | 32736002 |          0
 209214606  | 1191388844 |  10 | 32736002 |          0
(156 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 4068372003 | 3607167155 |  52 | 50201002 |          0
 4068372003 | 3607167155 |  52 | 50201003 |          0
 4069295524 | 3096632978 |  52 | 50202002 |          0
 4069295524 | 3096632978 |  52 | 50202003 |          0
 4070219045 | 2586098801 |  52 | 50203002 |          0
 4070219045 | 2586098801 |  52 | 50203003 |          0
 4071142566 | 2075564626 |  52 | 50204002 |          0
 4071142566 | 2075564626 |  52 | 50204003 |          0
 4072066087 | 1565030449 |  50 | 50205002 |          0
 4072066087 | 1565030449 |  50 | 50205003 |          0
 4072989608 | 1054496272 |  57 | 50206002 |          0
 4072989608 | 1054496272 |  57 | 50206003 |          0
 4073913129 | 543962095  | 100 | 50207002 |          0
 4073913129 | 543962095  | 100 | 50207003 |          0
 4074836650 | 33427918   |  50 | 50208002 |          0
 4074836650 | 33427918   |  50 | 50208003 |          0
 4075760171 | 3817861035 |  52 | 50209002 |          0
 4075760171 | 3817861035 |  52 | 50209003 |          0
 4096077633 | 1176043735 |  52 | 50210002 |          0
 4096077633 | 1176043735 |  52 | 50210003 |          0
 4097001154 | 665509558  |  52 | 50211002 |          0
 4097001154 | 665509558  |  52 | 50211003 |          0
 4097924675 | 154975381  |  52 | 50212002 |          0
 4097924675 | 154975381  |  52 | 50212003 |          0
 4098848196 | 3939408498 |  52 | 50213002 |          0
 4098848196 | 3939408498 |  52 | 50213003 |          0
 4099771717 | 3428874321 |  50 | 50214002 |          0
 4099771717 | 3428874321 |  50 | 50214003 |          0
 4100695238 | 2918340144 |  50 | 50215002 |          0
 4100695238 | 2918340144 |  50 | 50215003 |          0
 4101618759 | 2407805967 |  52 | 50216002 |          0
 4101618759 | 2407805967 |  52 | 50216003 |          0
 4102542280 | 1897271792 | 100 | 50217002 |          0
 4102542280 | 1897271792 | 100 | 50217003 |          0
 4103465801 | 1386737615 |  81 | 50218002 |          0
 4103465801 | 1386737615 |  81 | 50218003 |          0
 4104389322 | 876203438  |  52 | 50219002 |          0
 4104389322 | 876203438  |  52 | 50219003 |          0
 4124706784 | 2529353430 |  52 | 50220002 |          0
 4124706784 | 2529353430 |  52 | 50220003 |          0
 4125630305 | 2018819255 |  50 | 50221002 |          0
 4125630305 | 2018819255 |  50 | 50221003 |          0
 4126553826 | 1508285078 |  50 | 50222002 |          0
 4126553826 | 1508285078 |  50 | 50222003 |          0
(44 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 3742427408 | 2205441958 |  28 | 50401002 |          0
 3742427408 | 2205441958 |  28 | 50401003 |          0
 3744274450 | 1184373606 |  52 | 50403002 |          0
 3744274450 | 1184373606 |  52 | 50403003 |          0
 3746121492 | 163305252  |  50 | 50405002 |          0
 3746121492 | 163305252  |  50 | 50405003 |          0
 3747968534 | 3437204192 |  52 | 50407002 |          0
 3747968534 | 3437204192 |  52 | 50407003 |          0
 3749815576 | 2416135838 |  28 | 50409002 |          0
 3749815576 | 2416135838 |  28 | 50409003 |          0
 3771056559 | 3558751655 |  52 | 50411002 |          0
 3771056559 | 3558751655 |  52 | 50411003 |          0
 3771980080 | 3048217478 |  52 | 50412002 |          0
 3771980080 | 3048217478 |  52 | 50412003 |          0
 3773827122 | 2027149126 |  52 | 50414002 |          0
 3773827122 | 2027149126 |  52 | 50414003 |          0
 3774750643 | 1516614949 |  52 | 50415002 |          0
 3774750643 | 1516614949 |  52 | 50415003 |          0
 3775674164 | 1006080772 |  52 | 50416002 |          0
 3775674164 | 1006080772 |  52 | 50416003 |          0
 3778444727 | 3769445535 |  52 | 50419002 |          0
 3778444727 | 3769445535 |  52 | 50419003 |          0
 3799685710 | 617094058  |  60 | 50421002 |          0
 3799685710 | 617094058  |  60 | 50421003 |          0
 3801532752 | 3890992998 |  60 | 50423002 |          0
 3801532752 | 3890992998 |  60 | 50423003 |          0
 3803379794 | 2869924644 |  28 | 50425002 |          0
 3803379794 | 2869924644 |  28 | 50425003 |          0
 3805226836 | 1848856292 |  28 | 50427002 |          0
 3805226836 | 1848856292 |  28 | 50427003 |          0
(30 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 4252137000 | 3744478094 |  92 | 41401002 |          0
 4253060521 | 3233943917 |  18 | 41402002 |          0
 4253984042 | 2723409740 |  21 | 41403002 |          0
 4254907563 | 2212875563 |  31 | 41404002 |          0
 4255831084 | 1702341388 |  23 | 41405002 |          0
 4256754605 | 1191807211 |  32 | 41406002 |          0
 4258601647 | 170738857  | 124 | 41408002 |          0
 4259525168 | 3955171974 |  45 | 41409002 |          0
 4279842630 | 1313354674 |  51 | 41410002 |          0
 4280766151 | 802820497  | 124 | 41411002 |          0
 4281689672 | 292286320  |  92 | 41412002 |          0
 4283536714 | 3566185260 |  52 | 41414002 |          0
 4284460235 | 3055651083 |  32 | 41415002 |          0
 4286307277 | 2034582731 |  49 | 41417002 |          0
 4287230798 | 1524048554 |  92 | 41418002 |          0
 13504487   | 2666664369 | 298 | 41420002 |          0
 15351529   | 1645596017 |  66 | 41422002 |          0
 4288154319 | 1013514377 |  92 | 41419002 |          0
(18 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 4174949901 | 4101671561 |  83 | 41501002 |          0
 4175873422 | 3591137384 |  88 | 41502002 |          0
 4176796943 | 3080603207 |  30 | 41503002 |          0
 4176796944 | 3080603208 |  36 | 41503003 |          0
 4177720464 | 2570069030 |  31 | 41504002 |          0
 4178643985 | 2059534855 |  56 | 41505002 |          0
 4179567506 | 1549000678 |  48 | 41506002 |          0
 4180491027 | 1038466501 |  46 | 41507002 |          0
 4181414548 | 527932324  |  32 | 41508002 |          0
 4182338069 | 17398147   |  32 | 41509002 |          0
(10 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 6867260    | 2845155644 |  22 | 14620001 |          0
(1 row)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 3799391179 | 3252382330 |  40 | 13903001 |          0
 3799391180 | 3252382330 |  55 | 13903001 |          0
 3799391180 | 3252382330 |   5 | 13903001 |          0
 3799391181 | 3252382330 |  55 | 13903001 |          0
 3799391181 | 3252382330 |  25 | 13903001 |          0
 3804008784 | 2071714054 |  36 | 13908001 |          0
 3804932305 | 1491964290 |   6 | 13909001 |          0
 3804932306 | 1491964290 |  12 | 13909001 |          0
 3804932307 | 1491964290 |   6 | 13909001 |          0
 3804932308 | 1491964290 |  12 | 13909001 |          0
 3804932309 | 1491964290 |  12 | 13909001 |          0
 3825249767 | 1009462237 |  10 | 13910002 |          0
 3825249767 | 1009462237 | 3.6 | 13910003 |          0
 3826173288 | 1896965918 |  16 | 13911002 |          0
 3826173289 | 1896965918 |  18 | 13911002 |          0
 3855725960 | 4022442030 |  30 | 13922002 |          0
 3855725960 | 4022442030 |  30 | 13922003 |          0
 3855725961 | 4022442030 |  30 | 13922002 |          0
 3855725961 | 4022442030 |  30 | 13922003 |          0
(19 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 3721493043 | 2024327845 |  30 | 13808002 |          0
 3721493043 | 2024327845 |  30 | 13808003 |          0
 3742734026 | 3166943660 |  30 | 13810002 |          0
 3742734026 | 3166943660 |  30 | 13810003 |          0
 3742734027 | 3166943660 |  30 | 13810002 |          0
 3742734027 | 3166943660 |  30 | 13810003 |          0
 3744581068 | 2145875308 |  30 | 13812002 |          0
 3744581068 | 2145875308 |  30 | 13812003 |          0
 3744581069 | 2145875308 |  30 | 13812002 |          0
 3744581069 | 2145875308 |  30 | 13812003 |          0
 3746428110 | 1124806954 |  30 | 13814002 |          0
 3746428110 | 1124806954 |  30 | 13814003 |          0
 3746428111 | 1124806954 |  30 | 13814002 |          0
 3746428111 | 1124806954 |  30 | 13814003 |          0
 3747351631 | 614272777  |  30 | 13815002 |          0
 3747351631 | 614272777  |  30 | 13815003 |          0
 3747351632 | 614272777  |  30 | 13815002 |          0
 3747351632 | 614272777  |  30 | 13815003 |          0
 3748275152 | 51301254   |  28 | 13816002 |          0
 3748275153 | 51301254   |  32 | 13816002 |          0
 3748275153 | 51301254   |  24 | 13816002 |          0
 3771363177 | 764056799  |  32 | 13820002 |          0
 3771363177 | 764056799  |  24 | 13820002 |          0
 3771363178 | 764056799  |  32 | 13820002 |          0
 3771363178 | 764056799  |  24 | 13820002 |          0
 3772286698 | 4009719180 |  30 | 13821002 |          0
 3772286698 | 4009719180 |  30 | 13821003 |          0
 3772286698 | 4009719180 |  30 | 13821002 |          0
 3772286698 | 4009719180 |  30 | 13821003 |          0
 3772286698 | 4009719180 |  30 | 13821002 |          0
 3772286698 | 4009719180 |  30 | 13821003 |          0
(31 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 2408340402 | 1109939142 |  66 | 33902002 |          0
 2410187444 | 88870788   |  66 | 33904002 |          0
 2412034486 | 3362769728 |  66 | 33906002 |          0
(3 rows)

 ordergroup | transmode  | qty  |   uom    | currencysw 
------------+------------+------+----------+------------
 4144513848 | 1124244608 |   70 | 15864001 |          0
 4144513848 | 1124244608 | 10.5 | 15864004 |          0
(2 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 2002493798 | 3994086098 | 150 | 15526001 |          0
(1 row)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 3568149080 | 3201337694 |  85 | 16504001 |          0
 3568149080 | 3201337694 |  85 | 16504001 |          0
 3568149080 | 3201337694 |  82 | 16504001 |          0
(3 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 1216887862 | 121007620  |  30 | 13705002 |          0
 1216887862 | 121007620  |  30 | 13705003 |          0
 1216887862 | 121007620  |  30 | 13705002 |          0
 1216887862 | 121007620  |  30 | 13705003 |          0
 1216887862 | 121007620  |  30 | 13705002 |          0
 1216887862 | 121007620  |  30 | 13705003 |          0
 1216887862 | 121007620  |  30 | 13705002 |          0
 1216887862 | 121007620  |  30 | 13705003 |          0
 1240899408 | 4026988200 |  24 | 13710002 |          0
 1240899408 | 4026988200 |  24 | 13710003 |          0
(10 rows)

 ordergroup | transmode  | qty |   uom    | currencysw 
------------+------------+-----+----------+------------
 3280751610 | 2647189116 |  15 | 50906002 |          0
 3280751610 | 2647189116 |  15 | 50906003 |          0
 3280751610 | 2647189116 |   1 | 50906002 |          0
 3280751610 | 2647189116 |   1 | 50906003 |          0
(4 rows)

 ordergroup | transmode | qty |  uom   | currencysw 
------------+-----------+-----+--------+------------
 4056108989 | 678623963 | 250 | 100002 |          0
 4056108989 | 678623963 |  77 | 100002 |          0
(2 rows)

 ordergroup | transmode  | qty  |   uom    | currencysw 
------------+------------+------+----------+------------
 62074456   | 2176332448 |   30 | 16221004 |          0
 62997977   | 1665798273 |   30 | 16222004 |          0
 64845019   | 644729919  |   30 | 16224004 |          0
 65768540   | 134195742  |   30 | 16225004 |          0
 67615582   | 3408094682 |   16 | 16227004 |          0
 68539103   | 2897560505 |   30 | 16228004 |          0
 93474170   | 1998039616 | 22.5 | 16234004 |          0
 95321212   | 976971262  | 22.5 | 16236004 |          0
(8 rows)

 ordergroup | transmode | qty | uom | currencysw 
------------+-----------+-----+-----+------------
(0 rows)

 ordergroup |  transmode  | qty |   uom    | currencysw 
------------+-------------+-----+----------+------------
 129291400  | 12345678912 | 150 | 13518002 |          0
 156997030  | 976897292   |  25 | 13527002 |          0
 156997030  | 976897292   |   7 | 13527002 |          0
(3 rows)

