    item    |   source   |   dest    | qty  | unroundedqty |   uom    | ordergroup |  ordergroupmember   | currencysw 
 2767207696 | 4179061084 | 701858095 |   28 |           28 | 10003002 | 701868790  | OOPT-DCR100.03-OGM1 |          0
 2767207697 | 4179061084 | 701858095 |   34 |           34 | 10003002 | 701868790  | OOPT-DCR100.03-OGM1 |          0
 2767208653 | 4179090875 | 702781616 |   56 |           56 | 10004002 | 702792311  | OOPT-DCR100.04-OGM1 |          0
 2767208654 | 4179090875 | 702781616 |   51 |           51 | 10004002 | 702792311  | OOPT-DCR100.04-OGM1 |          0
 2767208655 | 4179090875 | 702781616 |   52 |           52 | 10004002 | 702792311  | OOPT-DCR100.04-OGM1 |          0
 2767208656 | 4179090875 | 702781616 |   54 |           54 | 10004002 | 702792311  | OOPT-DCR100.04-OGM1 |          0
 2767208657 | 4179090875 | 702781616 |   51 |           51 | 10004002 | 702792311  | OOPT-DCR100.04-OGM1 |          0
 2767208658 | 4179090875 | 702781616 |   49 |           49 | 10004002 | 702792311  | OOPT-DCR100.04-OGM1 |          0
 2767209614 | 4179120666 | 703705137 |  206 |          206 | 10005002 | 703715832  | OOPT-DCR100.05-OGM1 |          0
 2767209615 | 4179120666 | 703705137 |  129 |          129 | 10005002 | 703715832  | OOPT-DCR100.05-OGM1 |          0
 2767209616 | 4179120666 | 703705137 |  134 |          134 | 10005002 | 703715832  | OOPT-DCR100.05-OGM1 |          0
 2767209617 | 4179120666 | 703705137 |  135 |          135 | 10005002 | 703715832  | OOPT-DCR100.05-OGM1 |          0
 2767209618 | 4179120666 | 703705137 |   92 |           92 | 10005002 | 703715832  | OOPT-DCR100.05-OGM1 |          0
 2767209619 | 4179120666 | 703705137 |  102 |          102 | 10005002 | 703715832  | OOPT-DCR100.05-OGM1 |          0
 2767210575 | 4179150457 | 704628658 |   74 |           74 | 10006002 | 704639353  | OOPT-DCR100.06-OGM1 |          0
 2767210576 | 4179150457 | 704628658 |   28 |           28 | 10006002 | 704639353  | OOPT-DCR100.06-OGM1 |          0
 2767210577 | 4179150457 | 704628658 |   51 |           51 | 10006002 | 704639353  | OOPT-DCR100.06-OGM1 |          0
 2767210578 | 4179150457 | 704628658 |   41 |           41 | 10006002 | 704639353  | OOPT-DCR100.06-OGM1 |          0
 2767210579 | 4179150457 | 704628658 |   18 |           18 | 10006002 | 704639353  | OOPT-DCR100.06-OGM1 |          0
 2767210580 | 4179150457 | 704628658 |   24 |           24 | 10006002 | 704639353  | OOPT-DCR100.06-OGM1 |          0
 2767211536 | 4179180248 | 705552179 |  184 |          184 | 10007002 | 705562874  | OOPT-DCR100.07-OGM1 |          0
 2767211537 | 4179180248 | 705552179 |  123 |          123 | 10007002 | 705562874  | OOPT-DCR100.07-OGM1 |          0
 2767211538 | 4179180248 | 705552179 |  116 |          116 | 10007002 | 705562874  | OOPT-DCR100.07-OGM1 |          0
 2767211539 | 4179180248 | 705552179 |  131 |          131 | 10007002 | 705562874  | OOPT-DCR100.07-OGM1 |          0
 2767211540 | 4179180248 | 705552179 |   88 |           88 | 10007002 | 705562874  | OOPT-DCR100.07-OGM1 |          0
 2767211541 | 4179180248 | 705552179 |   84 |           84 | 10007002 | 705562874  | OOPT-DCR100.07-OGM1 |          0
 2767212497 | 4179210039 | 706475700 |   66 |           66 | 10008002 | 706486395  | OOPT-DCR100.08-OGM1 |          0
 2767212498 | 4179210039 | 706475700 |   51 |           51 | 10008002 | 706486395  | OOPT-DCR100.08-OGM1 |          0
 2767212499 | 4179210039 | 706475700 |   52 |           52 | 10008002 | 706486395  | OOPT-DCR100.08-OGM1 |          0
 2767212500 | 4179210039 | 706475700 |   54 |           54 | 10008002 | 706486395  | OOPT-DCR100.08-OGM1 |          0
 2767212501 | 4179210039 | 706475700 |   51 |           51 | 10008002 | 706486395  | OOPT-DCR100.08-OGM1 |          0
 2767212502 | 4179210039 | 706475700 |   49 |           49 | 10008002 | 706486395  | OOPT-DCR100.08-OGM1 |          0
 2767213458 | 4179239830 | 707399221 |   20 |           20 | 10009001 | 707409916  | OOPT-DCR100.09-OGM1 |          0
 2767213459 | 4179239830 | 707399221 |    4 |            4 | 10009001 | 707409916  | OOPT-DCR100.09-OGM1 |          0
 2767213460 | 4179239830 | 707399221 |   18 |           18 | 10009001 | 707409916  | OOPT-DCR100.09-OGM1 |          0
 2767213461 | 4179239830 | 707399221 |   10 |           10 | 10009001 | 707409916  | OOPT-DCR100.09-OGM1 |          0
 2767213462 | 4179239830 | 707399221 |    4 |            4 | 10009001 | 707409916  | OOPT-DCR100.09-OGM1 |          0
 2767213463 | 4179239830 | 707399221 |    8 |            8 | 10009001 | 707409916  | OOPT-DCR100.09-OGM1 |          0
 2767234600 | 4179895232 | 727716683 |   42 |           42 | 10010002 | 727727378  | OOPT-DCR100.10-OGM1 |          0
 2767234601 | 4179895232 | 727716683 |   19 |           19 | 10010002 | 727727378  | OOPT-DCR100.10-OGM1 |          0
 2767234602 | 4179895232 | 727716683 | 30.5 |         30.5 | 10010002 | 727727378  | OOPT-DCR100.10-OGM1 |          0
 2767234603 | 4179895232 | 727716683 |   51 |           51 | 10010002 | 727727378  | OOPT-DCR100.10-OGM1 |          0
 2767234604 | 4179895232 | 727716683 |   28 |           28 | 10010002 | 727727378  | OOPT-DCR100.10-OGM1 |          0
 2767234605 | 4179895232 | 727716683 |   34 |           34 | 10010002 | 727727378  | OOPT-DCR100.10-OGM1 |          0
 2767235561 | 4179925023 | 728640204 |  108 |           74 | 10011002 | 728650899  | OOPT-DCR100.11-OGM1 |          0
 2767235562 | 4179925023 | 728640204 |   28 |           28 | 10011002 | 728650899  | OOPT-DCR100.11-OGM1 |          0
 2767235563 | 4179925023 | 728640204 |   56 |           51 | 10011002 | 728650899  | OOPT-DCR100.11-OGM1 |          0
 2767235564 | 4179925023 | 728640204 |   44 |           41 | 10011002 | 728650899  | OOPT-DCR100.11-OGM1 |          0
 2767235565 | 4179925023 | 728640204 |   30 |           18 | 10011002 | 728650899  | OOPT-DCR100.11-OGM1 |          0
 2767235566 | 4179925023 | 728640204 |   24 |           24 | 10011002 | 728650899  | OOPT-DCR100.11-OGM1 |          0
 2767236522 | 4179954814 | 729563725 |   74 |           74 | 10012002 | 729574420  | OOPT-DCR100.12-OGM1 |          0
 2767236523 | 4179954814 | 729563725 |   28 |           28 | 10012002 | 729574420  | OOPT-DCR100.12-OGM1 |          0
 2767236524 | 4179954814 | 729563725 |   51 |           51 | 10012002 | 729574420  | OOPT-DCR100.12-OGM1 |          0
 2767236525 | 4179954814 | 729563725 |   41 |           41 | 10012002 | 729574420  | OOPT-DCR100.12-OGM1 |          0
 2767236526 | 4179954814 | 729563725 |   18 |           18 | 10012002 | 729574420  | OOPT-DCR100.12-OGM1 |          0
 2767236527 | 4179954814 | 729563725 |   24 |           24 | 10012002 | 729574420  | OOPT-DCR100.12-OGM1 |          0
 2767237483 | 4179984605 | 730487246 |   74 |           74 | 10013002 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237483 | 4179984605 | 730487246 |   74 |           74 | 10013003 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237484 | 4179984605 | 730487246 |   28 |           28 | 10013002 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237484 | 4179984605 | 730487246 |   28 |           28 | 10013003 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237485 | 4179984605 | 730487246 |   51 |           51 | 10013002 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237485 | 4179984605 | 730487246 |   51 |           51 | 10013003 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237486 | 4179984605 | 730487246 |   41 |           41 | 10013002 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237486 | 4179984605 | 730487246 |   41 |           41 | 10013003 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237487 | 4179984605 | 730487246 |   18 |           18 | 10013002 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237487 | 4179984605 | 730487246 |   18 |           18 | 10013003 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237488 | 4179984605 | 730487246 |   24 |           24 | 10013002 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767237488 | 4179984605 | 730487246 |   24 |           24 | 10013003 | 730497941  | OOPT-DCR100.13-OGM1 |          0
 2767238444 | 4180014396 | 731410767 |   74 |           74 | 10014002 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238444 | 4180014396 | 731410767 |   74 |           74 | 10014003 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238445 | 4180014396 | 731410767 |   28 |           28 | 10014002 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238445 | 4180014396 | 731410767 |   28 |           28 | 10014003 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238446 | 4180014396 | 731410767 |   51 |           51 | 10014002 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238446 | 4180014396 | 731410767 |   51 |           51 | 10014003 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238447 | 4180014396 | 731410767 |   41 |           41 | 10014002 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238447 | 4180014396 | 731410767 |   41 |           41 | 10014003 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238448 | 4180014396 | 731410767 |   18 |           18 | 10014002 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238448 | 4180014396 | 731410767 |   18 |           18 | 10014003 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238449 | 4180014396 | 731410767 |   24 |           24 | 10014002 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767238449 | 4180014396 | 731410767 |   24 |           24 | 10014003 | 731421462  | OOPT-DCR100.14-OGM1 |          0
 2767239405 | 4180044187 | 732334288 |   84 |           84 | 10015002 | 732344983  | OOPT-DCR100.15-OGM1 |          0
 2767239406 | 4180044187 | 732334288 |   38 |           38 | 10015002 | 732344983  | OOPT-DCR100.15-OGM1 |          0
 2767239407 | 4180044187 | 732334288 |   61 |           61 | 10015002 | 732344983  | OOPT-DCR100.15-OGM1 |          0
 2767239408 | 4180044187 | 732334288 |   51 |           51 | 10015002 | 732344983  | OOPT-DCR100.15-OGM1 |          0
 2767239409 | 4180044187 | 732334288 |   28 |           28 | 10015002 | 732344983  | OOPT-DCR100.15-OGM1 |          0
 2767239410 | 4180044187 | 732334288 |   34 |           34 | 10015002 | 732344983  | OOPT-DCR100.15-OGM1 |          0
 2767240366 | 4180073978 | 733257809 |   84 |           84 | 10016002 | 733268504  | OOPT-DCR100.16-OGM1 |          0
 2767240367 | 4180073978 | 733257809 |   38 |           38 | 10016002 | 733268504  | OOPT-DCR100.16-OGM1 |          0
 2767240368 | 4180073978 | 733257809 |   61 |           61 | 10016002 | 733268504  | OOPT-DCR100.16-OGM1 |          0
 2767240369 | 4180073978 | 733257809 |   51 |           51 | 10016002 | 733268504  | OOPT-DCR100.16-OGM1 |          0
 2767240370 | 4180073978 | 733257809 |   28 |           28 | 10016002 | 733268504  | OOPT-DCR100.16-OGM1 |          0
 2767240371 | 4180073978 | 733257809 |   34 |           34 | 10016002 | 733268504  | OOPT-DCR100.16-OGM1 |          0
 2767241327 | 4180103769 | 734181330 |   10 |           10 | 10017002 | 734192025  | OOPT-DCR100.17-OGM1 |          0
 2767241328 | 4180103769 | 734181330 |    2 |            2 | 10017002 | 734192025  | OOPT-DCR100.17-OGM1 |          0
 2767241329 | 4180103769 | 734181330 |    9 |            9 | 10017002 | 734192025  | OOPT-DCR100.17-OGM1 |          0
 2767241330 | 4180103769 | 734181330 |    5 |            5 | 10017002 | 734192025  | OOPT-DCR100.17-OGM1 |          0
 2767241331 | 4180103769 | 734181330 |    2 |            2 | 10017002 | 734192025  | OOPT-DCR100.17-OGM1 |          0
 2767241332 | 4180103769 | 734181330 |    4 |            4 | 10017002 | 734192025  | OOPT-DCR100.17-OGM1 |          0
 2767242288 | 4180133560 | 735104851 |  121 |          121 | 10018002 | 735115546  | OOPT-DCR100.18-OGM1 |          0
 2767242289 | 4180133560 | 735104851 |   69 |         68.5 | 10018002 | 735115546  | OOPT-DCR100.18-OGM1 |          0
 2767242290 | 4180133560 | 735104851 |   67 |           67 | 10018002 | 735115546  | OOPT-DCR100.18-OGM1 |          0
 2767242291 | 4180133560 | 735104851 |   77 |         76.5 | 10018002 | 735115546  | OOPT-DCR100.18-OGM1 |          0
 2767242292 | 4180133560 | 735104851 |   41 |           41 | 10018002 | 735115546  | OOPT-DCR100.18-OGM1 |          0
 2767242293 | 4180133560 | 735104851 |   39 |           39 | 10018002 | 735115546  | OOPT-DCR100.18-OGM1 |          0
 2767243249 | 4180163351 | 736028372 |  122 |          122 | 10019002 | 736039067  | OOPT-DCR100.19-OGM1 |          0
 2767243250 | 4180163351 | 736028372 |   72 |           72 | 10019002 | 736039067  | OOPT-DCR100.19-OGM1 |          0
 2767243251 | 4180163351 | 736028372 |   64 |           64 | 10019002 | 736039067  | OOPT-DCR100.19-OGM1 |          0
 2767243252 | 4180163351 | 736028372 |   78 |           78 | 10019002 | 736039067  | OOPT-DCR100.19-OGM1 |          0
 2767243253 | 4180163351 | 736028372 |   42 |           42 | 10019002 | 736039067  | OOPT-DCR100.19-OGM1 |          0
 2767243254 | 4180163351 | 736028372 |   38 |           38 | 10019002 | 736039067  | OOPT-DCR100.19-OGM1 |          0
 2767264391 | 4180818753 | 756345834 |   13 |   13.3333333 | 10020002 | 756356529  | OOPT-DCR100.20-OGM1 |          0
 2767264392 | 4180818753 | 756345834 |   13 |   13.3333333 | 10020002 | 756356529  | OOPT-DCR100.20-OGM1 |          0
 2767264393 | 4180818753 | 756345834 |   13 |   13.3333333 | 10020002 | 756356529  | OOPT-DCR100.20-OGM1 |          0
 2767264394 | 4180818753 | 756345834 |    6 |    6.6666667 | 10020002 | 756356529  | OOPT-DCR100.20-OGM2 |          0
 2767264395 | 4180818753 | 756345834 |    6 |    6.6666667 | 10020002 | 756356529  | OOPT-DCR100.20-OGM2 |          0
 2767264396 | 4180818753 | 756345834 |    6 |    6.6666667 | 10020002 | 756356529  | OOPT-DCR100.20-OGM2 |          0
 2767265352 | 4180848544 | 757269355 |  120 |          120 | 10021002 | 757280050  | OOPT-DCR100.21-OGM1 |          0
 2767265353 | 4180848544 | 757269355 |   65 |           65 | 10021002 | 757280050  | OOPT-DCR100.21-OGM1 |          0
 2767265354 | 4180848544 | 757269355 |   70 |           70 | 10021002 | 757280050  | OOPT-DCR100.21-OGM1 |          0
 2767265355 | 4180848544 | 757269355 |   75 |           75 | 10021002 | 757280050  | OOPT-DCR100.21-OGM1 |          0
 2767265356 | 4180848544 | 757269355 |   40 |           40 | 10021002 | 757280050  | OOPT-DCR100.21-OGM1 |          0
 2767265357 | 4180848544 | 757269355 |   40 |           40 | 10021002 | 757280050  | OOPT-DCR100.21-OGM1 |          0
 2767266313 | 4180878335 | 758192876 |  108 |          108 | 10022002 | 758203571  | OOPT-DCR100.22-OGM1 |          0
 2767266314 | 4180878335 | 758192876 |  120 |          120 | 10022002 | 758203571  | OOPT-DCR100.22-OGM2 |          0
 2767267274 | 4180908126 | 759116397 |   54 |           54 | 10023002 | 759127092  | OOPT-DCR100.23-OGM1 |          0
 2767267275 | 4180908126 | 759116397 |   54 |           54 | 10023002 | 759127092  | OOPT-DCR100.23-OGM1 |          0
 2767267276 | 4180908126 | 759116397 |   60 |           60 | 10023002 | 759127092  | OOPT-DCR100.23-OGM2 |          0
 2767267277 | 4180908126 | 759116397 |   60 |           60 | 10023002 | 759127092  | OOPT-DCR100.23-OGM2 |          0
 2767268235 | 4180937917 | 760039918 |  120 |          120 | 10024002 | 760050613  | OOPT-DCR100.24-OGM1 |          0
 2767268236 | 4180937917 | 760039918 |  130 |          130 | 10024002 | 760050613  | OOPT-DCR100.24-OGM2 |          0
 2767269196 | 4180967708 | 760963439 |   60 |           60 | 10025002 | 760974134  | OOPT-DCR100.25-OGM1 |          0
 2767269197 | 4180967708 | 760963439 |   60 |           60 | 10025002 | 760974134  | OOPT-DCR100.25-OGM1 |          0
 2767269198 | 4180967708 | 760963439 |   65 |           65 | 10025002 | 760974134  | OOPT-DCR100.25-OGM2 |          0
 2767269199 | 4180967708 | 760963439 |   65 |           65 | 10025002 | 760974134  | OOPT-DCR100.25-OGM2 |          0
 2767270157 | 4180997499 | 761886960 |  262 |          262 | 10026002 | 761897655  | OOPT-DCR100.26-OGM1 |          0
 2767270158 | 4180997499 | 761886960 |  248 |          248 | 10026002 | 761897655  | OOPT-DCR100.26-OGM2 |          0
 2767271118 | 4181027290 | 762810481 |  131 |          131 | 10027002 | 762821176  | OOPT-DCR100.27-OGM1 |          0
 2767271119 | 4181027290 | 762810481 |  131 |          131 | 10027002 | 762821176  | OOPT-DCR100.27-OGM1 |          0
 2767271120 | 4181027290 | 762810481 |  124 |          124 | 10027002 | 762821176  | OOPT-DCR100.27-OGM2 |          0
 2767271121 | 4181027290 | 762810481 |  124 |          124 | 10027002 | 762821176  | OOPT-DCR100.27-OGM2 |          0
 2767272079 | 4181057081 | 763734002 |  272 |          272 | 10028002 | 763744697  | OOPT-DCR100.28-OGM1 |          0
 2767272080 | 4181057081 | 763734002 |  262 |          262 | 10028002 | 763744697  | OOPT-DCR100.28-OGM2 |          0
 2767273040 | 4181086872 | 764657523 |  136 |          136 | 10029002 | 764668218  | OOPT-DCR100.29-OGM1 |          0
 2767273041 | 4181086872 | 764657523 |  136 |          136 | 10029002 | 764668218  | OOPT-DCR100.29-OGM1 |          0
 2767273042 | 4181086872 | 764657523 |  131 |          131 | 10029002 | 764668218  | OOPT-DCR100.29-OGM2 |          0
 2767273043 | 4181086872 | 764657523 |  131 |          131 | 10029002 | 764668218  | OOPT-DCR100.29-OGM2 |          0
 2767294182 | 4181742274 | 784974985 |  242 |          242 | 10030002 | 784985680  | OOPT-DCR100.30-OGM1 |          0
 2767294183 | 4181742274 | 784974985 |  220 |          220 | 10030002 | 784985680  | OOPT-DCR100.30-OGM2 |          0
 2767295143 | 4181772065 | 785898506 |  121 |          121 | 10031002 | 785909201  | OOPT-DCR100.31-OGM1 |          0
 2767295144 | 4181772065 | 785898506 |  121 |          121 | 10031002 | 785909201  | OOPT-DCR100.31-OGM1 |          0
 2767295145 | 4181772065 | 785898506 |  110 |          110 | 10031002 | 785909201  | OOPT-DCR100.31-OGM2 |          0
 2767295146 | 4181772065 | 785898506 |  110 |          110 | 10031002 | 785909201  | OOPT-DCR100.31-OGM2 |          0
 2767296104 | 4181801856 | 786822027 |  272 |          272 | 10032002 | 786832722  | OOPT-DCR100.32-OGM1 |          0
 2767296105 | 4181801856 | 786822027 |  262 |          262 | 10032002 | 786832722  | OOPT-DCR100.32-OGM2 |          0
 2767297065 | 4181831647 | 787745548 |  136 |          136 | 10033002 | 787756243  | OOPT-DCR100.33-OGM1 |          0
 2767297066 | 4181831647 | 787745548 |  136 |          136 | 10033002 | 787756243  | OOPT-DCR100.33-OGM1 |          0
 2767297067 | 4181831647 | 787745548 |  131 |          131 | 10033002 | 787756243  | OOPT-DCR100.33-OGM2 |          0
 2767297068 | 4181831647 | 787745548 |  131 |          131 | 10033002 | 787756243  | OOPT-DCR100.33-OGM2 |          0
 2767298026 | 4181861438 | 788669069 |  214 |          214 | 10034002 | 788679764  | OOPT-DCR100.34-OGM1 |          0
 2767298027 | 4181861438 | 788669069 |  200 |          200 | 10034002 | 788679764  | OOPT-DCR100.34-OGM2 |          0
 2767298987 | 4181891229 | 789592590 |  107 |          107 | 10035002 | 789603285  | OOPT-DCR100.35-OGM1 |          0
 2767298988 | 4181891229 | 789592590 |  107 |          107 | 10035002 | 789603285  | OOPT-DCR100.35-OGM1 |          0
 2767298989 | 4181891229 | 789592590 |  100 |          100 | 10035002 | 789603285  | OOPT-DCR100.35-OGM2 |          0
 2767298990 | 4181891229 | 789592590 |  100 |          100 | 10035002 | 789603285  | OOPT-DCR100.35-OGM2 |          0
 2767299948 | 4181921020 | 790516111 |  158 |          158 | 10036002 | 790526806  | OOPT-DCR100.36-OGM1 |          0
 2767299949 | 4181921020 | 790516111 |  160 |          160 | 10036002 | 790526806  | OOPT-DCR100.36-OGM2 |          0
 2767300909 | 4181950811 | 791439632 |   79 |           79 | 10037002 | 791450327  | OOPT-DCR100.37-OGM1 |          0
 2767300910 | 4181950811 | 791439632 |   79 |           79 | 10037002 | 791450327  | OOPT-DCR100.37-OGM1 |          0
 2767300911 | 4181950811 | 791439632 |   80 |           80 | 10037002 | 791450327  | OOPT-DCR100.37-OGM2 |          0
 2767300912 | 4181950811 | 791439632 |   80 |           80 | 10037002 | 791450327  | OOPT-DCR100.37-OGM2 |          0
(186 rows)

    item    |   source   |    dest    | qty | unroundedqty |   uom   | ordergroup |  ordergroupmember  | currencysw 
------------+------------+------------+-----+--------------+---------+------------+--------------------+------------
 2492858891 | 4264182845 | 3340632684 |  47 |           47 | 1101002 | 3340643379 | OOPT-NDB11.01-OGM1 |          0
 2492858892 | 4264182845 | 3340632684 |  47 |           47 | 1101002 | 3340643379 | OOPT-NDB11.01-OGM1 |          0
 2492858893 | 4264182845 | 3340632684 |  55 |           55 | 1101002 | 3340643379 | OOPT-NDB11.01-OGM1 |          0
 2492858894 | 4264182845 | 3340632684 |  55 |           55 | 1101002 | 3340643379 | OOPT-NDB11.01-OGM2 |          0
 2492858895 | 4264182845 | 3340632684 |  28 |           28 | 1101002 | 3340643379 | OOPT-NDB11.01-OGM2 |          0
 2492858896 | 4264182845 | 3340632684 |  34 |           34 | 1101002 | 3340643379 | OOPT-NDB11.01-OGM2 |          0
 2492859852 | 4264212636 | 3341556205 | 137 |          137 | 1102002 | 3341566900 | OOPT-NDB11.02-OGM1 |          0
 2492859853 | 4264212636 | 3341556205 |  47 |           47 | 1102002 | 3341566900 | OOPT-NDB11.02-OGM1 |          0
 2492859854 | 4264212636 | 3341556205 |  55 |           55 | 1102002 | 3341566900 | OOPT-NDB11.02-OGM1 |          0
 2492859855 | 4264212636 | 3341556205 |  55 |           55 | 1102002 | 3341566900 | OOPT-NDB11.02-OGM2 |          0
 2492859856 | 4264212636 | 3341556205 |  28 |           28 | 1102002 | 3341566900 | OOPT-NDB11.02-OGM2 |          0
 2492859857 | 4264212636 | 3341556205 |  34 |           34 | 1102002 | 3341566900 | OOPT-NDB11.02-OGM2 |          0
 2492860813 | 4264242427 | 3342479726 |  47 |           47 | 1103002 | 3342490421 | OOPT-NDB11.03-OGM1 |          0
 2492860814 | 4264242427 | 3342479726 |  47 |           47 | 1103002 | 3342490421 | OOPT-NDB11.03-OGM1 |          0
 2492860815 | 4264242427 | 3342479726 |  55 |           55 | 1103002 | 3342490421 | OOPT-NDB11.03-OGM1 |          0
 2492860816 | 4264242427 | 3342479726 |  55 |           55 | 1103002 | 3342490421 | OOPT-NDB11.03-OGM2 |          0
 2492860817 | 4264242427 | 3342479726 |  28 |           28 | 1103002 | 3342490421 | OOPT-NDB11.03-OGM2 |          0
 2492860818 | 4264242427 | 3342479726 |  34 |           34 | 1103002 | 3342490421 | OOPT-NDB11.03-OGM2 |          0
(18 rows)

   item    |   source   |    dest    | qty | unroundedqty |   uom   | ordergroup |  ordergroupmember  | currencysw 
-----------+------------+------------+-----+--------------+---------+------------+--------------------+------------
 768308570 | 2342730384 | 3905148537 |  54 |           54 | 1201002 | 3905159232 | OOPT-AAA12.01-OGM1 |          0
 768308571 | 2342730384 | 3905148537 |  54 |           54 | 1201002 | 3905159232 | OOPT-AAA12.01-OGM1 |          0
 768308572 | 2342730384 | 3905148537 |  60 |           60 | 1201002 | 3905159232 | OOPT-AAA12.01-OGM2 |          0
 768308573 | 2342730384 | 3905148537 |  60 |           60 | 1201002 | 3905159232 | OOPT-AAA12.01-OGM2 |          0
 768309531 | 2342760175 | 3906072058 |  54 |           54 | 1202002 | 3906082753 | OOPT-AAA12.02-OGM1 |          0
 768309532 | 2342760175 | 3906072058 |  54 |           54 | 1202002 | 3906082753 | OOPT-AAA12.02-OGM1 |          0
 768309533 | 2342760175 | 3906072058 |  60 |           60 | 1202002 | 3906082753 | OOPT-AAA12.02-OGM2 |          0
 768309534 | 2342760175 | 3906072058 |  60 |           60 | 1202002 | 3906082753 | OOPT-AAA12.02-OGM2 |          0
 768310492 | 2342789966 | 3906995579 |  54 |           54 | 1203002 | 3907006274 | OOPT-AAA12.03-OGM1 |          0
 768310493 | 2342789966 | 3906995579 |  54 |           54 | 1203002 | 3907006274 | OOPT-AAA12.03-OGM1 |          0
 768310494 | 2342789966 | 3906995579 |  60 |           60 | 1203002 | 3907006274 | OOPT-AAA12.03-OGM2 |          0
 768310495 | 2342789966 | 3906995579 |  60 |           60 | 1203002 | 3907006274 | OOPT-AAA12.03-OGM2 |          0
 768311453 | 2342819757 | 3907919100 |  54 |           54 |  123456 | 3907929795 | OOPT-AAA12.04-OGM1 |          0
 768311453 | 2342819757 | 3907919100 |  54 |           54 | 1204002 | 3907929795 | OOPT-AAA12.04-OGM1 |          0
 768311454 | 2342819757 | 3907919100 |  54 |           54 |  123456 | 3907929795 | OOPT-AAA12.04-OGM1 |          0
 768311454 | 2342819757 | 3907919100 |  54 |           54 | 1204002 | 3907929795 | OOPT-AAA12.04-OGM1 |          0
 768311455 | 2342819757 | 3907919100 |  60 |           60 |  123456 | 3907929795 | OOPT-AAA12.04-OGM2 |          0
 768311455 | 2342819757 | 3907919100 |  60 |           60 | 1204002 | 3907929795 | OOPT-AAA12.04-OGM2 |          0
 768311456 | 2342819757 | 3907919100 |  60 |           60 |  123456 | 3907929795 | OOPT-AAA12.04-OGM2 |          0
